category,category_reason,business_name,legal_name,abn,head_office,website,registration_status,registered_until,registration_groups,has_nt_presence,has_darwin_presence,nt_outlets,darwin_outlets,outlet_phone,source_url
disability_company,Pty Ltd / Pty Limited with core disability registration groups,Empower Ability Solutions,Empowerability Solution Pty Ltd,55669738096,"ZUCCOLI, NT, 0832, AU",https://www.empowerabilitysolutions.com.au,Approved,12 June 2028,Accommodation/Tenancy; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living,yes,,Head office,,+610470023008,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,ENABLE OPPORTUNITIES,INDEPENDENT CHOICE CONTROL (ICC) PTY LTD,27647584843,"ALICE SPRINGS, NT, 0870, AU",https://www.enop.com.au/,Approved,04 February 2028,Accommodation/Tenancy; Assist Personal Activities High; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Plan Management; Supported Independent Living,yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,EVERRISE DISABILITY SUPPORT PTY LTD,Everrise Disability Support Pty Ltd,43692812874,"BRAITLING, NT, 0870, AU",,Approved,17 August 2029,"Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ",yes,,"Everrise Disability Support Pty Ltd, AU",,+610470551429,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,EVORA CARE,Evora Care Pty Ltd,43656458454,"ALICE SPRINGS, NT, 0870, AU",https://www.evoracare.com.au,Approved,10 March 2029,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,"Evora Care Alice Springs, 3/1 Colson St, ALICE SPRINGS, NT, 0870, AU",,+611300889440,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,FEM SERVICES PTY LTD,Fem Services Pty Ltd,58669405556,"NHULUNBUY, NT, 0880, AU",,Approved,19 June 2027,"Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Support Coordination; Supported Independent Living",yes,,FEM Services Pty LTD,,+610413883738,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,FIRST NATIONS AND PACIFIC ISLANDS CARE PTY LTD,First Nations and Pacific Islands Care Pty Ltd,13677779172,"MUIRHEAD, NT, 0810, AU",,Approved,08 April 2028,"Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ; Supported Independent Living",yes,,First Nations and Pacific Islands Care Pty Ltd,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,FRB CARE PLUS PTY LTD,Frb Care Plus Pty Ltd,19673660252,"DURACK, NT, 0830, AU",,Approved,08 August 2028,"Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,FRB Care Plus Pty Ltd,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,FREE & BOUNTY LIFE PTY LTD,Free & Bounty Life Pty Ltd,59693339883,"ZUCCOLI, NT, 0832, AU",,Approved,06 February 2029,Behaviour Support; Development-Life Skills; Therapeutic Supports,yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,FREEDOM BEYOND DISABILITY,Mcried Living Pty Limited,62677856763,"ALICE SPRINGS, NT, 0870, AU",,Approved,13 November 2027,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist Personal Activities High; Assist Prod-Pers Care/Safety; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Assistive Equip-Recreation; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Home Modification; Household Tasks; Participate Community; Personal Mobility Equipment; Plan Management; Supported Independent Living",yes,,"Freedom Beyond Disability, 82 Todd Street, ALICE SPRINGS, NT, 0870, AU",,+610458436344,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,GIFTED HANDS SUPPORT SERVICES,GIFTED HANDS SUPPORT SERVICES PTY LTD,42643075165,"ZUCCOLI, NT, 0832, AU",https://giftedhands.net.au,Approved,04 August 2028,"Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Behaviour Support; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Household Tasks; Innov Community Participation; Participate Community; Support Coordination; Supported Independent Living",yes,,"Gifted Hands Support Services, AU",,+610404358991,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,GLORY CARE SERVICES PTY LTD,Glory Care Services Pty Ltd,30689817463,"BRAITLING, NT, 0870, AU",,Approved,04 December 2028,"Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,Glory Care Services,,+610401163944,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,GRACE REYAT DISABILITY SERVICES PTY LTD.,Grace Reyat Disability Services Pty Ltd.,30658822354,"MOUNT JOHNS, NT, 0874, AU",,Approved,22 June 2026,"Accommodation/Tenancy; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Support Coordination; Supported Independent Living",yes,,Grace Reyat Disability Services Pty Ltd - WA,,+610459298370,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,GRACIOUS HELPER SUPPORT SERVICES,Desert Communication Pty Ltd,80624370869,"ARALUEN, NT, 0870, AU",,Approved,08 November 2027,"Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ; Supported Independent Living",yes,,"GRACIOUS HELPER SUPPORT SERVICES, AU",,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,Harmonious Community Care,Harmonious Community Care Pty Ltd,59676872594,"LEE POINT, NT, 0810, AU",,Approved,18 March 2028,"Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,HARMONY HELPING HANDS PTY LTD,HARMONY HELPING HANDS PTY LTD,41649120132,"GUNN, NT, 0832, AU",,Approved,31 July 2026,Accommodation/Tenancy; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living,yes,,SIL House,,+610490239176,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,HEALING PATHWAYS NT PTY LTD,Healing Pathways NT Pty Ltd,66678166115,"MUIRHEAD, NT, 0810, AU",https://www.hpnt.com.au,Approved,03 February 2028,"Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Early Childhood Supports; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ; Therapeutic Supports",yes,,Healing Pathways NT Pty Ltd,,+610466998324,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,HOPE BRIDGE DISABILITY SUPPORT PTY LTD,Hope Bridge Disability Support Pty Ltd,85691425948,"MOUNT JOHNS, NT, 0874, AU",,Approved,10 August 2029,"Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community",yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,HOX'S SERVICES PTY LTD,Hox's Services Pty Ltd,17646073252,"ARALUEN, NT, 0870, AU",,Approved,30 May 2028,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,HOX'S SERVICES PTY LTD,,+610413662113,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,iCare Youth And Community Services,ICARE YOUTH AND COMMUNITY SERVICES PTY LTD,61641040066,"ALICE SPRINGS, NT, 0870, AU",https://www.icare-nt.com.au,Approved,08 November 2027,"Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Ex Phys Pers Training; Group/Centre Activities; Household Tasks; Participate Community; Spec Support Employ; Supported Independent Living; Therapeutic Supports",yes,,"38 Turner Street, 38 Turner Street, TENNANT CREEK, NT, 0860, AU | 70 Bradshaw, 70 Bradshaw Drive, GILLEN, NT, 0870, AU | 8 Staunton, 8 Staunton Street, TENNANT CREEK, NT, 0860, AU | iCare Youth And Community Services, 44 Bath Street, ALICE SPRINGS, NT, 0870, AU | 24/5 Latz Crescent, Unit 5, 24 Latz Crescent, LARAPINTA, NT, 0875, AU | 1/17 Laver Crt, Unit 1, 17 Laver Court, SADADEEN, NT, 0870, AU | 34 Kilgariff, 34 Kilgariff Crescent, SADADEEN, NT, 0870, AU | 6 Johannsen St, 6 Johannsen Street, GILLEN, NT, 0870, AU",,+610411567430,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,IDEAL Plan Management,ABMKG Family Trust & Lismar Trust & Milojo Trust & ROSEKIRK PTY LTD & The Lariss,59903291025,"CANBERRA, ACT, 2601, AU",https://www.idealplan.com.au,Approved,06 December 2026,Plan Management; Supported Independent Living,yes,,IDEAL Plan Management NT,,+611300800110,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,IMARA CARE PTY LTD,Imara Care Pty Ltd,39688332309,"GILLEN, NT, 0870, AU",,Approved,18 November 2028,"Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,Mobile,,+610410974542,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,INFINITY CARE AUSTRALIA PTY LTD,Infinity Care Australia Pty Ltd,70671918219,"ARALUEN, NT, 0870, AU",,Approved,17 July 2028,Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Participate Community; Supported Independent Living,yes,,Infinity Care Australia PTY LTD,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,INSIGHT LIVING,Iv Revive Drips Pty Ltd,25661990236,"BRINKIN, NT, 0810, AU",,Approved,17 October 2027,"Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ",yes,,"INSIGHT LIVING, AU",,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,INTEGRITY PRACTICES PTY LTD,INTEGRITY PRACTICES PTY LTD,48653444823,"MUIRHEAD, NT, 0810, AU",,Approved,14 July 2028,Behaviour Support,yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,J. C. SMITH & ASSOCIATES NT PTY. LTD.,J.C. SMITH & ASSOCIATES NT PTY. LTD.,20083457854,"NHULUNBUY, NT, 0880, AU",,Approved,02 June 2028,"Accommodation/Tenancy; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Plan Management; Supported Independent Living",yes,,JC Smith & Associates NT PTY LTD | J.C. Smith & Associates NT Pty Ltd,,+610482663828,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,JOURNEY TO HORIZON SERVICES PTY LTD,Journey to Horizon Services Pty Ltd,71684279650,"DURACK, NT, 0830, AU",,Approved,13 January 2029,"Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,JOURNEY TO HORIZON SERVICES PTY LTD,,+610414855410,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,Journey To Independence Disability Services,Jti Disability Services Pty Ltd,93668153437,"KATHERINE EAST, NT, 0850, AU",http://www.jtidisabilityservices.com.au/,Approved,22 February 2027,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,"Journey to Independence Disability Services, AU",,+610420881439,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,Joyful Souls Support,Joyful Souls Support Pty Ltd,69658015742,"BRAITLING, NT, 0870, AU",,Approved,30 November 2026,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,"Joyful Souls Head Office, Unit 8, 11 Todd Street, ALICE SPRINGS, NT, 0870, AU | Joyful House, 10 Stuart Highway, BRAITLING, NT, 0870, AU",,+610889555138,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,KACHE SERVICES,Oscare Health Services Pty Ltd.,44664103584,"BRAITLING, NT, 0870, AU",,Approved,21 October 2027,"Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community",yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,KIND HANDS NURSING SERVICES PTY LTD,Kind Hands Nursing Services Pty Ltd,22670680707,"DURACK, NT, 0830, AU",,Approved,10 July 2027,Assist-Travel/Transport; Community Nursing Care,yes,,KIND HANDS NURSING SERVICES PTY LTD,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,KONNECTUS SUPPORT COORDINATION,Konnectus Support Coordination Pty Ltd,50683650553,"OSBORNE PARK, WA, 6017, AU",https://konnectus.org.au/,Approved,24 July 2028,"Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Daily Tasks/Shared Living; Development-Life Skills; Household Tasks; Innov Community Participation; Participate Community; Support Coordination; Supported Independent Living",yes,,"Konnectus Support Coordination - Alice Springs, Unit 3, 7 Larapinta Drive, GILLEN, NT, 0870, AU | Konnectus Support Coordination - Tennant Creek, Unit 2, 8 Paterson Street, TENNANT CREEK, NT, 0860, AU",,+610413780792,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,LEAH BETT NURSING SERVICES PTY LTD,LEAH BETT NURSING SERVICES PTY LTD,46639984704,"ALICE SPRINGS, NT, 0870, AU",,Approved,29 October 2028,"Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Household Tasks; Innov Community Participation; Participate Community; Supported Independent Living",yes,,"Leah Bett Nursing Services, Shop 4, 8 Gregory Terrace, ALICE SPRINGS, NT, 0870, AU",,+610484565876,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,LIBERTY BEHAVIOURAL SERVICES PTY LTD,LIBERTY BEHAVIOURAL SERVICES PTY LTD,65635889413,"MELBOURNE, VIC, 3000, AU",https://libertybehaviouralservices.org/,Approved,10 July 2026,Behaviour Support; Therapeutic Supports,yes,,"NT, AU",,+610402669075,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,LIFE ASPECTS SUPPORT SERVICES,Life Aspects Proprietary Limited,31668875349,"DESERT SPRINGS, NT, 0870, AU",https://www.lifeaspects.com.au,Approved,19 August 2027,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist Personal Activities High; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Behaviour Support; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Early Childhood Supports; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ; Support Coordination; Supported Independent Living; Therapeutic Supports",yes,,,,,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,LIFE HAVEN CARE GROUP PTY LTD,Life Haven Care Group Pty Ltd,20666046251,"GILLEN, NT, 0870, AU",https://www.lifehavencaregroup.com.au,Approved,19 June 2028,Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Participate Community; Supported Independent Living,yes,,LIFE HAVEN CARE GROUP PTY LTD,,+610439863949,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
disability_company,Pty Ltd / Pty Limited with core disability registration groups,LIFE IMPROVEMENTS PTY LTD,Life Improvements Pty Ltd,85687555353,"SADADEEN, NT, 0870, AU",,Approved,05 November 2028,"Accommodation/Tenancy; Assist Access/Maintain Employ; Assist-Life Stage, Transition; Assist-Personal Activities; Assist-Travel/Transport; Community Nursing Care; Daily Tasks/Shared Living; Development-Life Skills; Group/Centre Activities; Household Tasks; Innov Community Participation; Participate Community; Spec Support Employ; Supported Independent Living",yes,,Life Improvements Pty Ltd,,+610455428604,https://www.ndiscommission.gov.au/provider-registration/find-registered-provider
